adjusted_ci_high,adjusted_ci_low,adjusted_o_difference,claim_eligible,coverage_epsilon,coverage_quantile,distance,inferential_valid,knn_k,mean_o_difference,note,novelty_effective_k,o_ci_high,o_ci_low,pca_centered,pca_cumulative_explained_variance,pca_n_components,pca_variance_threshold,representation_key,status
,,,False,,0.95,cosine,False,5,,Prespecified sensitivity only; never replaces the primary analysis.,,,,True,,,0.8,layer_023__masked_mean,insufficient_matched_pairs
,,,False,,0.95,cosine,False,5,,Prespecified sensitivity only; never replaces the primary analysis.,,,,False,,,0.8,layer_023__masked_mean,insufficient_matched_pairs
,,,False,,0.95,cosine,False,5,,Prespecified sensitivity only; never replaces the primary analysis.,,,,True,,,0.9,layer_023__masked_mean,insufficient_matched_pairs
,,,False,,0.95,cosine,False,5,,Prespecified sensitivity only; never replaces the primary analysis.,,,,False,,,0.9,layer_023__masked_mean,insufficient_matched_pairs
,,,False,,0.95,cosine,False,5,,Prespecified sensitivity only; never replaces the primary analysis.,,,,True,,,0.95,layer_023__masked_mean,insufficient_matched_pairs
,,,False,,0.95,cosine,False,5,,Prespecified sensitivity only; never replaces the primary analysis.,,,,False,,,0.95,layer_023__masked_mean,insufficient_matched_pairs
